HPLC.ID,sex,treatment,ID,conc.dnp,diet,days,Astaxanthin,B-Carotene,Hydroxyechinenone,volume,mass,asta.conc,b.carot.conc,hydroxy.conc,dietary.conc,ratio.conc,resp.min.mg,resp.min
63,M,DNP,DNP Male,2uM,yeast,7,0.60537,0,0.02639,0.05,0.05,0.60537,0,0.02639,0.02639,0.958227808,-26.10515029,-1.305257515
64,F,DNP,DNP Female,2uM,yeast,7,0.51559,0,0.03044,0.05,0.046,0.560423913,0,0.033086957,0.033086957,0.944252147,-19.45284224,-0.894830743
65,M,DNP,DNP Male,2uM,yeast,7,0.67702,0,0.02654,0.05,0.055,0.615472727,0,0.024127273,0.024127273,0.962277559,-31.36536245,-1.725094935
66,F,DNP,DNP Female,2uM,yeast,7,0.59909,0.00376,0.0326,0.05,0.063,0.475468254,0.002984127,0.025873016,0.028857143,0.942780706,-17.11336425,-1.078141948
67,M,Control,Control Male,2uM,yeast,7,0.65677,0.00262,0.02881,0.05,0.052,0.631509615,0.002519231,0.027701923,0.030221154,0.954330136,-15.18302115,-0.7895171
68,F,Control,Control Female,2uM,yeast,7,0.42114,0,0.02668,0.05,0.048,0.4386875,0,0.027791667,0.027791667,0.940422491,-24.7521387,-1.188102658
69,F,Control,Control Female,2uM,yeast,7,0.54793,0,0.03123,0.05,0.062,0.441879032,0,0.025185484,0.025185484,0.946077077,-11.30825379,-0.701111735
70,M,Control,Control Male,2uM,yeast,7,0.64956,0,0.02418,0.05,0.055,0.590509091,0,0.021981818,0.021981818,0.964110785,-19.1439586,-1.052917723
71,M,Control,Control Male,2uM,yeast,7,0.60601,0,0.02122,0.05,0.05,0.60601,0,0.02122,0.02122,0.96616871,-22.26306927,-1.113153464
72,F,Control,Control Female,2uM,yeast,7,0.22865,0,0.01561,0.05,0.043,0.265872093,0,0.018151163,0.018151163,0.936092687,-16.91586277,-0.727382099
73,F,Control,Control Female,2uM,yeast,7,0.39477,0,0.02313,0.05,0.06,0.328975,0,0.019275,0.019275,0.944651831,-11.63525103,-0.698115062
74,M,Control,Control Male,2uM,yeast,7,0.43387,0,0.01456,0.05,0.048,0.451947917,0,0.015166667,0.015166667,0.967531164,-18.71428689,-0.898285771
75,M,Control,Control Male,2uM,yeast,7,0.47742,0,0.01621,0.05,0.052,0.459057692,0,0.015586538,0.015586538,0.96716164,-21.69616185,-1.128200416
76,M,Control,Control Male,2uM,yeast,7,0.5054,0,0.01989,0.05,0.047,0.537659574,0,0.021159574,0.021159574,0.962135202,-24.3103981,-1.142588711
77,M,Control,Control Male,2uM,yeast,7,0.38943,0,0.01812,0.05,0.053,0.367386792,0,0.01709434,0.01709434,0.955539197,-9.030906158,-0.478638026
78,F,DNP,DNP Female,2uM,yeast,7,0.50611,0,0.04706,0.05,0.057,0.44395614,0,0.041280702,0.041280702,0.914926695,-18.68046043,-1.064786245
79,F,DNP,DNP Female,2uM,yeast,7,0.46183,0.00577,0.04109,0.05,0.064,0.360804688,0.004507813,0.032101563,0.036609376,0.907881026,-15.11686948,-0.967479647
80,M,DNP,DNP Male,2uM,yeast,7,0.48727,0,0.0167,0.05,0.04,0.6090875,0,0.020875,0.020875,0.966863107,-41.66538163,-1.666615265
81,M,DNP,DNP Male,2uM,yeast,7,0.57012,0,0.02344,0.05,0.044,0.647863636,0,0.026636364,0.026636364,0.960509468,-33.3274848,-1.466409331
82,M,DNP,DNP Male,2uM,yeast,7,0.52611,0,0.01561,0.05,0.045,0.584566667,0,0.017344444,0.017344444,0.971184376,-28.94406742,-1.302483034
83,M,DNP,DNP Male,2uM,yeast,7,0.64777,0,0.02897,0.05,0.053,0.611103774,0,0.027330189,0.027330189,0.957191831,-20.77748649,-1.101206784
84,M,Control,Control Male,2uM,yeast,7,0.25193,0,0,0.05,0.033,0.381712121,0,0,0,1,-17.92434824,-0.591503492
85,M,Control,Control Male,2uM,yeast,7,0.35348,0,0.01156,0.05,0.031,0.570129032,0,0.018645161,0.018645161,0.968332238,-13.29849325,-0.412253291
86,M,Control,Control Male,2uM,yeast,7,0.434,0.01894,0.02101,0.05,0.041,0.529268293,0.023097561,0.025621951,0.048719512,0.915708408,-19.37903033,-0.794540244
87,F,Control,Control Female,2uM,yeast,7,0.66293,0,0.02939,0.05,0.05,0.66293,0,0.02939,0.02939,0.957548532,-11.45010578,-0.572505289
88,M,Control,Control Male,2uM,yeast,7,0.52273,0,0.01896,0.05,0.039,0.670166667,0,0.024307692,0.024307692,0.964998431,-8.843293204,-0.344888435
89,F,Control,Control Female,2uM,yeast,7,0.25293,0,0.01817,0.05,0.047,0.269074468,0,0.019329787,0.019329787,0.932976762,-22.84491676,-1.073711088
90,M,DNP,DNP Male,2uM,yeast,7,0.27425,0,0.01573,0.05,0.03,0.457083333,0,0.026216667,0.026216667,0.945754879,-38.61293203,-1.158387961
91,M,DNP,DNP Male,2uM,yeast,7,0.32264,0,0.01773,0.05,0.036,0.448111111,0,0.024625,0.024625,0.947909628,-16.83738103,-0.606145717
92,M,DNP,DNP Male,2uM,yeast,7,0.21215,0,0.01905,0.05,0.035,0.303071429,0,0.027214286,0.027214286,0.917603806,-16.37912609,-0.573269413
93,F,DNP,DNP Female,2uM,yeast,7,0.57969,0,0.02053,0.05,0.048,0.60384375,0,0.021385417,0.021385417,0.965795874,-24.62934544,-1.182208581
94,M,DNP,DNP Male,2uM,yeast,7,0.42156,0,0.01725,0.05,0.031,0.679935484,0,0.027822581,0.027822581,0.960689136,-44.19919295,-1.370174981
95,F,DNP,DNP Female,2uM,yeast,7,0.29427,0,0.01933,0.05,0.036,0.408708333,0,0.026847222,0.026847222,0.93836097,-34.16595741,-1.229974467
96,M,Control,Control Male,2uM,yeast,7,0.20322,0,0.01469,0.05,0.034,0.298852941,0,0.021602941,0.021602941,0.932586848,-16.92688393,-0.575514054
97,M,Control,Control Male,2uM,yeast,7,0.44399,0,0.01858,0.05,0.036,0.616652778,0,0.025805556,0.025805556,0.959833106,-20.75437396,-0.747157463
98,F,Control,Control Female,2uM,yeast,7,0.47431,0.01579,0.02851,0.05,0.038,0.624092105,0.020776316,0.037513158,0.058289474,0.914579356,-7.520836682,-0.285791794
99,F,Control,Control Female,2uM,yeast,7,0.58786,0,0.0393,0.05,0.055,0.534418182,0,0.035727273,0.035727273,0.937336564,-11.38034814,-0.625919148
100,F,Control,Control Female,2uM,yeast,7,0.41709,0,0.03453,0.05,0.041,0.508646341,0,0.042109756,0.042109756,0.923541916,-20.56000486,-0.842960199
101,M,DNP,DNP Male,2uM,yeast,7,0.50311,0,0.01847,0.05,0.041,0.61354878,0,0.02252439,0.02252439,0.964588366,-22.84867617,-0.936795723
102,M,DNP,DNP Male,2uM,yeast,7,0.34834,0,0.01421,0.05,0.04,0.435425,0,0.0177625,0.0177625,0.960805406,-8.350390295,-0.334015612
103,M,DNP,DNP Male,2uM,yeast,7,0.33177,0,0.01393,0.05,0.038,0.436539474,0,0.018328947,0.018328947,0.959704947,-21.15563157,-0.803914
104,F,DNP,DNP Female,2uM,yeast,7,0.30831,0,0.02757,0.05,0.041,0.375987805,0,0.033621951,0.033621951,0.917917114,-8.784021039,-0.360144863
105,F,DNP,DNP Female,2uM,yeast,7,0.59017,0,0.04095,0.05,0.056,0.5269375,0,0.0365625,0.0365625,0.93511535,-9.471009616,-0.530376538
106,F,DNP,DNP Female,2uM,yeast,7,0.25412,0.00192,0.02508,0.05,0.047,0.270340426,0.002042553,0.026680851,0.028723404,0.903955607,-30.13150277,-1.41618063
107,M,Control,Control Male,10uM,algae,3,0.31142,0,0,0.05,0.016,0.9731875,0,0,0,1,-18.125,-0.29
108,M,Control,Control Male,10uM,algae,3,1.31028,0.01455,0.01746,0.05,0.031,2.113354839,0.023467742,0.02816129,0.051629032,0.976152694,,
109,M,Control,Control Male,10uM,algae,3,0.56658,0.00029,0,0.05,0.019,1.491,0.000763158,0,0.000763158,0.999488419,,
110,F,Control,Control Female,10uM,algae,3,1.04419,0.00536,0,0.05,0.028,1.864625,0.009571429,0,0.009571429,0.994893049,-35.71428571,-1
111,F,Control,Control Female,10uM,algae,3,0.638,0,0,0.05,0.022,1.45,0,0,0,1,-26.81818182,-0.59
112,F,Control,Control Female,10uM,algae,3,0.24904,0,0,0.05,0.042,0.29647619,0,0,0,1,,
113,M,DNP,DNP Male,10uM,algae,3,0.61482,0,0,0.05,0.021,1.463857143,0,0,0,1,-30.47619048,-0.64
114,M,DNP,DNP Male,10uM,algae,3,0.78706,0.0025,0,0.05,0.02,1.96765,0.00625,0,0.00625,0.99683368,-22.5,-0.45
115,M,DNP,DNP Male,10uM,algae,3,0.62262,0.00032,0,0.05,0.026,1.197346154,0.000615385,0,0.000615385,0.999486307,-37.30769231,-0.97
116,F,DNP,DNP Female,10uM,algae,3,0.25412,0.01318,0,0.05,0.029,0.438137931,0.022724138,0,0.022724138,0.950692106,-46.89655172,-1.36
117,M,DNP,DNP Male,10uM,algae,3,1.00915,0.01051,0.01084,0.05,0.02,2.522875,0.026275,0.0271,0.053375,0.979281902,-39,-0.78
118,M,DNP,DNP Male,10uM,algae,3,0.88843,0.00166,0.01126,0.05,0.038,1.168986842,0.002184211,0.014815789,0.017,0.985665946,-36.84210526,-1.4
119,M,DNP,DNP Male,10uM,algae,3,1.27474,0.0044,0.01258,0.05,0.039,1.634282051,0.005641026,0.016128205,0.021769231,0.986854736,-58.20512821,-2.27
120,M,DNP,DNP Male,10uM,algae,3,1.39929,0.00265,0.01634,0.05,0.033,2.120136364,0.004015152,0.024757576,0.028772728,0.986610542,-60.3030303,-1.99
121,F,DNP,DNP Female,10uM,algae,3,1.16236,0.0129,0.01744,0.05,0.04,1.45295,0.016125,0.0218,0.037925,0.974561918,-42.5,-1.7
122,F,DNP,DNP Female,10uM,algae,3,1.27988,0.01784,0.01045,0.05,0.038,1.684052632,0.023473684,0.01375,0.037223684,0.97837437,-66.57894737,-2.53
123,F,DNP,DNP Female,10uM,algae,3,1.14523,0,0,0.05,0.031,1.847145161,0,0,0,1,-51.93548387,-1.61
124,F,DNP,DNP Female,10uM,algae,3,1.16649,0.00148,0,0.05,0.059,0.988550847,0.001254237,0,0.001254237,0.998732844,-50,-2.95
125,M,Control,Control Male,10uM,algae,3,1.26408,0.01082,0.01121,0.05,0.031,2.03883871,0.017451613,0.018080645,0.035532258,0.982870828,-23.87096774,-0.74
126,M,Control,Control Male,10uM,algae,3,1.07186,0.00662,0,0.05,0.032,1.67478125,0.01034375,0,0.01034375,0.993861731,,
127,M,Control,Control Male,10uM,algae,3,0.96928,0.00042,0,0.05,0.035,1.384685714,0.0006,0,0.0006,0.999566876,-16.85714286,-0.59
128,M,Control,Control Male,10uM,algae,3,1.02108,0,0,0.05,0.029,1.760482759,0,0,0,1,-7.586206897,-0.22
129,F,Control,Control Female,10uM,algae,3,0.92203,0.00729,0.01072,0.05,0.036,1.280597222,0.010125,0.014888889,0.025013889,0.980841241,-13.33333333,-0.48
130,F,Control,Control Female,10uM,algae,3,0.95624,0.00949,0.01648,0.05,0.035,1.366057143,0.013557143,0.023542857,0.0371,0.973559626,,
131,F,Control,Control Female,10uM,algae,3,1.42709,0.0086,0.01563,0.05,0.049,1.456214286,0.00877551,0.01594898,0.02472449,0.983304853,-16.12244898,-0.79
132,F,Control,Control Female,10uM,algae,3,1.69176,0.00529,0.01863,0.05,0.04,2.1147,0.0066125,0.0232875,0.0299,0.986058006,-28.5,-1.14
144,M,DNP,DNP Male,10uM,algae,3,0.97935,0.02114,0.04023,0.05,0.037,1.323445946,0.028567568,0.054364865,0.082932433,0.941031209,,
145,M,DNP,DNP Male,10uM,algae,3,0.84442,0.05718,0.03756,0.05,0.04,1.055525,0.071475,0.04695,0.118425,0.89912262,-50.5,-2.02
146,M,DNP,DNP Male,10uM,algae,3,1.00988,0.0643,0.04879,0.05,0.045,1.122088889,0.071444444,0.054211111,0.125655555,0.899293837,-66.88888889,-3.01
147,M,DNP,DNP Male,10uM,algae,3,0.99985,0.01986,0.04412,0.05,0.042,1.190297619,0.023642857,0.05252381,0.076166667,0.939858812,-61.66666667,-2.59
148,M,DNP,DNP Male,10uM,algae,3,0.97421,0.0182,0.03582,0.05,0.041,1.188060976,0.022195122,0.043682927,0.065878049,0.947463116,-56.58536585,-2.32
149,M,Control,Control Male,10uM,algae,3,1.28402,0.03579,0.04043,0.05,0.046,1.395673913,0.038902174,0.043945652,0.082847826,0.943965771,-42.39130435,-1.95
150,M,Control,Control Male,10uM,algae,3,1.16638,0.00708,0.04255,0.05,0.042,1.388547619,0.008428571,0.050654762,0.059083333,0.959186191,-43.33333333,-1.82
151,M,Control,Control Male,10uM,algae,3,1.09485,0.07469,0.0492,0.05,0.048,1.14046875,0.077802083,0.05125,0.129052083,0.898345833,-75.20833333,-3.61
152,M,Control,Control Male,10uM,algae,3,1.27097,0.00557,0.04008,0.05,0.041,1.549963415,0.006792683,0.048878049,0.055670732,0.965327885,-81.46341463,-3.34
153,M,Control,Control Male,10uM,algae,3,1.15348,0.00338,0.04004,0.05,0.045,1.281644444,0.003755556,0.044488889,0.048244445,0.963722951,-77.77777778,-3.5
154,F,Control,Control Female,10uM,algae,3,1.37482,0.03105,0.07635,0.05,0.053,1.297,0.029292453,0.072028302,0.101320755,0.927541121,-52.83018868,-2.8
155,F,Control,Control Female,10uM,algae,3,1.31116,0.05964,0.05901,0.05,0.051,1.28545098,0.058470588,0.057852941,0.116323529,0.917016947,-37.25490196,-1.9
